smiles,vina_score
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,-7.9
Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,-7.6
Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,-7.7
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,-7.0
CN(C)c1ncc2ncnc(Nc3cccc(C)c3)c2n1,-7.6
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,-7.7
Cc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)nc23)c1,-7.3
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.5
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.7
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.0
OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.3
CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.2
OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.0
CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.0
CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.2
CN(C)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-6.6
CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-6.0
CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.1
CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.3
CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-6.7
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,-6.7
